Category,Roadmap_Strength,Social_Media_Sentiment,Whitelist_Count,Marketing_Strategies,Success
Virtual Land,9,-0.7917828360308523,2113,"Influencer Marketing, Airdrops, Partnerships",0
Performance,4,0.5998321707463787,1252,"Airdrops, Discord Engagement",1
2D,6,-0.6429106758913328,4356,Partnerships,1
Digital,1,0.3054922157037494,2046,"Partnerships, Twitter Ads, Paid Ads",0
Virtual Land,9,-0.523634437906547,4555,Twitter Ads,0
2D,1,-0.8011172144813097,4023,"Discord Engagement, Paid Ads, Twitter Ads",0
2D,5,-0.5136556180010918,4396,"Paid Ads, Partnerships",1
Gaming,4,0.4445338637113183,3374,Email Marketing,0
Digital,3,0.7113929362125715,3466,"Partnerships, Influencer Marketing",1
Metaverse,6,0.6604397291339832,3081,Email Marketing,0
Collectibles,2,-0.20563294076309035,3778,"Email Marketing, Partnerships, Influencer Marketing",1
Image,3,0.33617027314129233,629,Airdrops,1
Photography,5,-0.5900314091683581,269,"Discord Engagement, Paid Ads",0
Collectibles,9,-0.4137045394779735,2639,"Airdrops, Paid Ads",0
Art,2,0.7926716370422395,1993,"Email Marketing, Partnerships, Influencer Marketing",1
Image,10,-0.9739961529785279,2891,Discord Engagement,0
Image,8,-0.8289829382910638,4957,"Paid Ads, Influencer Marketing, Airdrops",1
P2E,2,-0.5842274897079454,3432,Twitter Ads,1
Graphics,5,-0.9469355922523606,1280,Email Marketing,1
Drawing,7,-0.6371291298204054,2360,"Email Marketing, Discord Engagement",1
Performance,8,0.16608312193938435,575,"Partnerships, Discord Engagement",0
Performance,1,-0.1571508988150041,1307,Paid Ads,0
Image,6,0.7853434221539497,3192,"Twitter Ads, Partnerships",1
Metaverse,1,0.6348871234768818,3178,"Influencer Marketing, Email Marketing",0
Music,2,-0.31636529660424806,2734,"Discord Engagement, Airdrops, Paid Ads",1
Virtual Land,1,-0.48115313313741503,2212,"Paid Ads, Discord Engagement",0
Privilege,5,-0.2406151836654662,2352,"Airdrops, Twitter Ads",0
Virtual Land,10,0.18058988502961548,3568,Paid Ads,1
Gaming,9,-0.4638727183542475,1655,Paid Ads,0
3D,6,0.24829781569826803,1579,"Airdrops, Partnerships",1
Privilege,1,-0.18117669561751915,2203,"Partnerships, Discord Engagement, Paid Ads",1
Collectibles,1,0.10409436170396047,1390,"Airdrops, Paid Ads",1
Performance,2,-0.12774694172936663,1742,Paid Ads,1
Virtual Land,9,-0.41106848091616466,1925,"Influencer Marketing, Email Marketing, Partnerships",1
Image,3,0.8969066139243134,619,"Twitter Ads, Influencer Marketing, Email Marketing",1
Digital,1,0.5272115883195216,1274,"Influencer Marketing, Airdrops, Partnerships",0
Performance,5,-0.7197736484670949,956,"Paid Ads, Twitter Ads",1
Metaverse,7,0.7369359517958256,1939,"Paid Ads, Email Marketing, Discord Engagement",1
3D,6,-0.025137603500972716,3953,Influencer Marketing,1
P2E,1,0.7891044537881828,2381,"Partnerships, Discord Engagement, Airdrops",1
Gaming,5,0.5997105118946304,968,Twitter Ads,0
Digital,5,-0.1495729910615331,1316,"Email Marketing, Partnerships",1
Gaming,6,-0.9550613833597652,1043,Partnerships,1
Collectibles,3,-0.46264528123010784,281,Twitter Ads,0
Photography,5,0.08326842932173384,2844,"Influencer Marketing, Airdrops",1
Graphics,7,0.26695643965229454,1058,"Twitter Ads, Partnerships",1
Gaming,5,-0.48422462913359543,4293,Airdrops,1
Image,5,-0.7212878518543517,2532,"Email Marketing, Twitter Ads, Paid Ads",1
Collectibles,5,0.6698604735985982,3828,"Airdrops, Paid Ads, Partnerships",1
Graphics,10,0.9688043614071042,1008,"Twitter Ads, Airdrops, Paid Ads",0
Gaming,10,0.05138036460537165,1229,Email Marketing,1
3D,3,-0.656641428303393,1035,"Influencer Marketing, Discord Engagement",0
Drawing,1,-0.4553853469612621,4585,Twitter Ads,1
Performance,5,-0.9632186469050665,275,"Paid Ads, Twitter Ads, Discord Engagement",1
Digital,9,0.828597613120998,2740,"Paid Ads, Email Marketing",0
3D,1,-0.7644978342197177,2289,Twitter Ads,0
Digital,3,0.1530329510285071,1239,Partnerships,1
Drawing,4,-0.451889558625588,125,"Airdrops, Influencer Marketing, Twitter Ads",0
PFP,1,0.10835600503158682,4065,"Partnerships, Airdrops",1
Performance,1,0.30284077670372844,4312,Airdrops,0
PFP,8,0.6594836074144033,3868,"Airdrops, Paid Ads",0
Privilege,2,-0.5871574564787936,1208,"Email Marketing, Paid Ads",1
Performance,8,-0.978008342683039,3249,"Twitter Ads, Partnerships",1
PFP,7,-0.7262287398623855,918,Airdrops,1
Art,10,0.8000372836962102,3923,"Partnerships, Paid Ads, Discord Engagement",0
Virtual Land,10,0.7477801551250305,4403,"Paid Ads, Partnerships, Airdrops",1
Privilege,2,0.1948262043406166,1969,Email Marketing,1
Art,6,0.20103372086730675,2793,"Airdrops, Influencer Marketing",1
Image,6,0.33007334909251096,891,"Partnerships, Influencer Marketing, Twitter Ads",1
Digital,3,-0.6492574427531008,4470,Airdrops,1
2D,2,0.8288238918499196,2033,"Partnerships, Influencer Marketing",1
P2E,1,-0.16245895021585377,1364,"Twitter Ads, Discord Engagement, Influencer Marketing",0
Digital,6,-0.2337229435010051,128,"Partnerships, Airdrops",1
Metaverse,5,0.037835410565675076,1014,"Paid Ads, Influencer Marketing, Discord Engagement",0
Metaverse,9,-0.9060680664498899,1799,"Discord Engagement, Paid Ads",1
Art,1,-0.6674332624878412,4612,Paid Ads,0
Music,7,0.4760672328527409,1518,Email Marketing,1
Graphics,5,-0.8344026641497471,4181,"Airdrops, Paid Ads",1
Virtual Land,5,0.2063042189327764,1198,Paid Ads,0
Privilege,2,-0.5093017806373581,3873,"Discord Engagement, Paid Ads",0
Virtual Land,3,-0.2214087719160469,2474,"Paid Ads, Influencer Marketing, Twitter Ads",0
Privilege,7,-0.42261252645860026,3485,"Email Marketing, Influencer Marketing, Partnerships",1
Digital,6,-0.28865456707010173,4049,"Airdrops, Paid Ads",1
Image,2,0.438091810368491,3719,Influencer Marketing,0
Collectibles,6,-0.40575656875364996,302,"Email Marketing, Partnerships, Paid Ads",1
Art,2,0.13280928059379438,3952,"Influencer Marketing, Email Marketing, Discord Engagement",0
Drawing,2,-0.04789919560180067,4683,"Influencer Marketing, Twitter Ads",1
Music,2,0.3273423307252963,986,Email Marketing,1
Metaverse,3,0.873659478649516,1863,Influencer Marketing,0
Image,2,0.4651441944205006,4440,"Twitter Ads, Partnerships",1
Digital,4,-0.5701192428184865,4909,"Influencer Marketing, Partnerships, Airdrops",0
Metaverse,9,-0.9376337298774307,3072,"Discord Engagement, Partnerships",0
Art,6,-0.47547191140034983,3124,"Paid Ads, Email Marketing, Partnerships",0
Metaverse,1,0.19015586140050966,1327,"Influencer Marketing, Email Marketing",0
Music,8,-0.8971483730314993,2408,"Twitter Ads, Influencer Marketing, Email Marketing",1
Performance,7,-0.007267505597527313,3673,Email Marketing,1
3D,10,0.19368569783377843,3291,"Partnerships, Influencer Marketing, Email Marketing",1
Metaverse,3,-0.33151221836607836,4033,"Influencer Marketing, Email Marketing",0
Art,1,0.5418244074916438,703,"Paid Ads, Twitter Ads, Influencer Marketing",0
Music,5,-0.7868034937324564,574,"Partnerships, Discord Engagement, Paid Ads",1
